Feature,Importance
cat__Churn Reason_Not Applicable,0.24801855286887656
num__Churn Score,0.15752213885797228
num__Tenure Months,0.028308219801461726
num__Total Charges,0.026606565483392332
cat__Contract_Month-to-month,0.02225561920849038
num__Monthly Charges,0.018414156789578674
cat__Dependents_No,0.015702776462193157
cat__Internet Service_Fiber optic,0.015072048271329228
cat__Payment Method_Electronic check,0.014826534774629085
cat__Contract_Two year,0.014460046634387071
num__CLTV,0.014158824375577972
cat__Online Security_No,0.01392676261358059
cat__Dependents_Yes,0.013415056405020522
num__Latitude,0.012004611853845446
num__Zip Code,0.011856964598403049
num__Longitude,0.01166482222122348
cat__Tech Support_No,0.011003577640421529
cat__Churn Reason_Competitor offered higher download speeds,0.009764499866622374
cat__Churn Reason_Attitude of support person,0.00940615467603081
cat__Tech Support_Yes,0.00914274265335112
cat__Internet Service_No,0.00866898680244474
cat__Online Backup_No,0.007858558139487793
cat__Contract_One year,0.007541340368165324
cat__Online Security_Yes,0.007369935377165305
cat__Churn Reason_Don't know,0.00725190371742912
cat__Churn Reason_Competitor offered more data,0.00710628137765365
cat__Streaming TV_No internet service,0.007004319205663506
cat__Churn Reason_Attitude of service provider,0.0069315930790533765
cat__Churn Reason_Competitor made better offer,0.006599655839671374
cat__Device Protection_No,0.006219498750396393
cat__Internet Service_DSL,0.006149973180758701
cat__Churn Reason_Product dissatisfaction,0.006011615924190354
cat__Paperless Billing_Yes,0.0054585752865409145
cat__Tech Support_No internet service,0.0053596812432266825
cat__Paperless Billing_No,0.005304216136542649
cat__Churn Reason_Network reliability,0.005211959539005353
cat__Device Protection_No internet service,0.005138369624523742
cat__Online Security_No internet service,0.004844407568625337
cat__Churn Reason_Competitor had better devices,0.004703873159219041
cat__Partner_Yes,0.004166465773351374
cat__Payment Method_Credit card (automatic),0.004140923927743326
cat__Online Backup_Yes,0.004132607477067119
cat__Online Backup_No internet service,0.004015971539817046
cat__Churn Reason_Price too high,0.003959941997830826
cat__Payment Method_Bank transfer (automatic),0.00395520368249923
cat__Churn Reason_Service dissatisfaction,0.00375554980148619
cat__Churn Reason_Lack of self-service on Website,0.003595036432538125
cat__Partner_No,0.00346294581834311
cat__Device Protection_Yes,0.003146921872640471
cat__Streaming Movies_No,0.003069367150965388
cat__Streaming TV_No,0.003027958497872739
cat__Gender_Male,0.002924078080194291
cat__Streaming TV_Yes,0.002771792179884441
cat__Senior Citizen_Yes,0.002714691005761423
cat__Multiple Lines_No,0.002697140740599019
cat__Streaming Movies_Yes,0.002677491832585703
cat__Senior Citizen_No,0.002618048849755609
cat__Multiple Lines_Yes,0.0026120470419732354
cat__Gender_Female,0.0025064569841586138
cat__Churn Reason_Moved,0.0025024022043244874
cat__Streaming Movies_No internet service,0.0024007389590440264
cat__Payment Method_Mailed check,0.0023727090121701214
cat__Churn Reason_Extra data charges,0.00218673950431757
cat__Churn Reason_Lack of affordable download/upload speed,0.0020087138526626415
cat__Churn Reason_Limited range of services,0.0015640513993649054
cat__Churn Reason_Long distance charges,0.0014717167707076794
cat__Multiple Lines_No phone service,0.0012459115556796403
cat__City_Los Angeles,0.0011756923997630943
cat__Phone Service_Yes,0.0011426043238610432
cat__Phone Service_No,0.001002471726722104
cat__City_San Diego,0.0008031101970841542
cat__City_San Jose,0.0007228421281081171
cat__Churn Reason_Poor expertise of phone support,0.0006799662104211307
cat__City_Sacramento,0.0005955358408971557
cat__City_Glendale,0.0005861440933820398
cat__City_San Francisco,0.000539694321031719
cat__Churn Reason_Poor expertise of online support,0.0005209896052543483
cat__City_Bakersfield,0.00043352648948826177
cat__City_Pasadena,0.00040509399731595864
cat__City_Modesto,0.00038733407663470783
cat__City_Oakland,0.00036312316340047634
cat__City_Fresno,0.0003474584120154038
cat__City_Santa Barbara,0.00034168689434166383
cat__City_Elk Grove,0.0003122046498142744
cat__City_Long Beach,0.0003027634587332882
cat__City_San Bernardino,0.0002862327618229377
cat__City_Chula Vista,0.00027606908970721013
"cat__Lat Long_34.186211, -117.07683",0.00024131053697445227
"cat__Lat Long_34.066303, -118.435479",0.00023972280241288686
"cat__Lat Long_37.186141, -121.843554",0.0002388731009109523
cat__City_Santa Rosa,0.00023781532124302816
cat__City_Fremont,0.00023682686993304193
"cat__Lat Long_34.162515, -118.203869",0.00022966874373990827
cat__City_Ontario,0.00022873574890985485
cat__City_Riverside,0.0002253231568834852
cat__City_Inglewood,0.0002225367162375284
cat__City_Daly City,0.0002213185530683827
cat__City_Stockton,0.00022057951701364022
cat__City_Fullerton,0.00021899527151697713
"cat__Lat Long_41.950683, -124.097094",0.0002187770083095752
cat__City_Saint Helena,0.00021821697496199173
cat__City_Concord,0.00021757716540150564
"cat__Lat Long_38.803731, -121.043799",0.00021533637760236265
cat__City_Crescent Mills,0.00021462460356862995
cat__City_Olivehurst,0.00021416006445896193
"cat__Lat Long_32.898613, -117.202937",0.00021299714932104414
"cat__Lat Long_38.931425, -121.946081",0.00021228183986960497
"cat__Lat Long_32.961064, -117.134917",0.00020744820939508138
"cat__Lat Long_34.102119, -117.815532",0.0002050185005534249
cat__City_Whittier,0.00020499087580442968
cat__City_Piru,0.00020224596131433734
cat__City_Smith River,0.00020217481766045262
